URL FOR CHECKING,Company,Descriptions,3 Yrs Growth,Industry,State,City,Year Founded,Website
https://inc.com/christine-lagorio/how-tiny-changes-reap-enormous-results-at-americas-fastest-growing-company.html,Vytalize Health,A risk-bearing enablement platform that provides a care delivery system for health care clients.Profile,"90,779%",Health Services,NJ,Hoboken,,
https://inc.com/cara-cannella/how-to-pull-off-a-billion-dollar-deal.html,Lessen,Premier tech-enabled platform simplifying the maintenance and management process for residential and commercial real estate.Profile,"45,603%",Software,AZ,Scottsdale,,
https://www.inc.com/profile/monogram-health?listid=495,Monogram Health,"Leading national multispecialty risk provider of in-home, evidence-based clinical care for kidney disease.Profile","43,848%",Health Services,TN,Brentwood,,
https://www.inc.com/profile/top-tier-solar-solutions?listid=495,Top Tier Solar Solutions,"Family-owned, full-service residential solar sales and installation company helping homeowners invest in energy independence.Profile","41,101%",Energy,NC,Charlotte,,
https://www.inc.com/profile/ABA-Centers?listid=495,ABA Centers of America,Behavioral health care organization providing applied behavior analysis (ABA) therapy services to children with autism through a play-based approach.Profile,"32,192%",Health Services,FL,Fort Lauderdale,,
https://www.inc.com/profile/upward-health?listid=495,Upward Health,"A medical group providing in-home access to care, including physical and social determinants of health.Profile","30,722%",Health Services,NY,"Hauppauge, New York",,
https://www.inc.com/profile/carbliss?listid=495,Carbliss,"Carb-free, sugar-free and gluten-free ready-to-drink cocktail made with premium spirits such as vodka, tequila and rum.Profile","27,174%",Food & Beverage,WI,Plymouth,,
https://www.inc.com/profile/bounce?listid=495,Bounce,A storage service that allows travelers to securely store their luggage globally in convenient locations.Profile,"19,783%",Travel & Hospitality,CA,San Francisco,,
https://www.inc.com/profile/raw-sport-supplement-company?listid=495,Raw Sport Supplement Company,"Fastest-growing sports supplement brand in the industry via spins, IRI and all data platforms.Profile","17,644%",Consumer Products,FL,Port st lucie,,
https://www.inc.com/profile/alpine-iq?listid=495,Alpine IQ,Software revolutionizing customer data compliance within heavily regulated industries and addressing critical challenges in retail.Profile,"16,469%",Software,CO,Broomfield,,
https://www.inc.com/profile/kashkick?listid=495,KashKick,Loyalty and rewards platform putting more money in our users' pockets for things they already do.Profile,"16,095%",Consumer Products,FL,Tampa,,
https://www.inc.com/profile/autosled?listid=495,Autosled,"Seamless digital marketplace for dealers, transporters, auctioneers, brokers and individuals.Profile","14,001%",Logistics & Transportation,MD,Rockville,,
https://www.inc.com/profile/cowbell-cyber?listid=495,Cowbell,Cyber-insurance pioneer specializing in adaptable cyber coverage for SMEs to address current and future threats.Profile,"13,503%",Insurance,CA,Pleasanton,,
https://www.inc.com/profile/skyline-smart-energy?listid=495,Skyline Smart Energy,"Offering customers energy independence solutions, including home protection, fire safety, smart home solutions and solar.Profile","11,857%",Energy,CA,Downey,,
https://www.inc.com/profile/statuspro?listid=495,StatusPro,Sports technology company combining pro athlete data with augmented and virtual reality.Profile,"11,379%",Consumer Products,FL,Miami,,
https://www.inc.com/profile/marketcall?listid=495,Marketcall,"Matching advertisers with suitable affiliates, pairing them for long-term, scalable success in maximizing profits.Profile","11,186%",Advertising & Marketing,CA,Pasadena,,
https://www.inc.com/profile/compeo?listid=495,COMPEO,"Cost-effective, customized HR management software platforms for workers? compensation, payroll and HR management.Profile","10,915%",Human Resources,FL,Dania,,
https://www.inc.com/profile/Ascend-Agency?listid=495,Ascend Agency,"Marketing firm that focuses on publishing articles for brand building and storytelling using a unique, disruptive approach.Profile","10,617%",Advertising & Marketing,CA,Irvine,,
https://www.inc.com/profile/the-woobles?listid=495,The Woobles,Company leveraging ed-tech tools to successfully teach the art of crocheting to complete beginners.Profile,"10,406%",Consumer Products,NC,Chapel Hill,,
https://inc.com/bill-saporito/how-driven-do-you-have-to-be-to-pull-off-10106-percent-3-year-revenue-growth-ask-don-burnette.html,Kodiak,"Streamlined modular hardware optimized for perception, maintenance and scale for safer, more efficient freight industry.Profile","10,106%",Logistics & Transportation,CA,Mountain View,,
https://www.inc.com/profile/wisetack?listid=495,Wisetack,"Provides a pay-over-time platform for in-person services, partnering with SaaS companies to embed payment financing options through its API integration.Profile","10,010%",Financial Services,OR,Beaverton,,
https://www.inc.com/profile/dqs-solutions--staffing?listid=495,DQS Solutions & Staffing,Agency providing quality staffing and innovative business solutions across varied industries.Profile,"9,912%",Human Resources,MI,Dearborn,,
https://www.inc.com/profile/ejl-entertainment?listid=495,EJL Entertainment,Los Angeles-based company delivering various brick-and-mortar Japanese specialty lifestyle concepts to its customers.Profile,"9,707%",Food & Beverage,CA,San Gabriel,,
https://www.inc.com/profile/tarana-wireless?listid=495,Tarana Wireless,Creator of next-generation fixed wireless access (ngFWA) delivering high-speed broadband at scale.Profile,"9,514%",Telecommunications,CA,Milpitas,,
